country,date,inflation_rate
China (People’s Republic of),2016-02-01,102.7
China (People’s Republic of),2016-02-01,2.3
China (People’s Republic of),2016-03-01,102.2
China (People’s Republic of),2016-03-01,2.3
China (People’s Republic of),2016-04-01,102.0
China (People’s Republic of),2016-04-01,2.3
China (People’s Republic of),2016-05-01,101.6
China (People’s Republic of),2016-05-01,2.0
China (People’s Republic of),2016-06-01,101.4
China (People’s Republic of),2016-06-01,1.9
China (People’s Republic of),2016-07-01,101.6
China (People’s Republic of),2016-07-01,1.8
China (People’s Republic of),2016-08-01,101.7
China (People’s Republic of),2016-08-01,1.3
China (People’s Republic of),2016-09-01,102.4
China (People’s Republic of),2016-09-01,1.9
China (People’s Republic of),2016-10-01,102.3
China (People’s Republic of),2016-10-01,2.1
China (People’s Republic of),2016-11-01,102.4
China (People’s Republic of),2016-11-01,2.3
China (People’s Republic of),2016-12-01,102.6
China (People’s Republic of),2016-12-01,2.1
China (People’s Republic of),2017-01-01,103.7
China (People’s Republic of),2017-01-01,2.5
China (People’s Republic of),2017-02-01,103.5
China (People’s Republic of),2017-02-01,0.8
China (People’s Republic of),2017-03-01,103.2
China (People’s Republic of),2017-03-01,0.9
China (People’s Republic of),2017-04-01,103.2
China (People’s Republic of),2017-04-01,1.2
China (People’s Republic of),2017-05-01,103.3
China (People’s Republic of),2017-05-01,1.5
China (People’s Republic of),2017-06-01,103.1
China (People’s Republic of),2017-06-01,1.5
China (People’s Republic of),2017-07-01,103.0
China (People’s Republic of),2017-07-01,1.4
China (People’s Republic of),2017-08-01,103.5
China (People’s Republic of),2017-08-01,1.8
China (People’s Republic of),2017-09-01,104.1
China (People’s Republic of),2017-09-01,1.6
China (People’s Republic of),2017-10-01,104.2
China (People’s Republic of),2017-10-01,1.9
China (People’s Republic of),2017-11-01,104.2
China (People’s Republic of),2017-11-01,1.7
China (People’s Republic of),2017-12-01,104.5
China (People’s Republic of),2017-12-01,1.8
China (People’s Republic of),2018-01-01,105.2
China (People’s Republic of),2018-01-01,1.5
China (People’s Republic of),2018-02-01,106.5
China (People’s Republic of),2018-02-01,2.9
China (People’s Republic of),2018-03-01,105.3
China (People’s Republic of),2018-03-01,2.1
China (People’s Republic of),2018-04-01,105.1
China (People’s Republic of),2018-04-01,1.8
China (People’s Republic of),2018-05-01,104.9
China (People’s Republic of),2018-05-01,1.8
China (People’s Republic of),2018-06-01,104.9
China (People’s Republic of),2018-06-01,1.9
China (People’s Republic of),2018-07-01,105.2
China (People’s Republic of),2018-07-01,2.1
China (People’s Republic of),2018-08-01,105.9
China (People’s Republic of),2018-08-01,2.3
China (People’s Republic of),2018-09-01,106.6
China (People’s Republic of),2018-09-01,2.5
China (People’s Republic of),2018-10-01,106.8
China (People’s Republic of),2018-10-01,2.5
China (People’s Republic of),2018-11-01,106.4
China (People’s Republic of),2018-11-01,2.2
China (People’s Republic of),2018-12-01,106.5
China (People’s Republic of),2018-12-01,1.9
China (People’s Republic of),2019-01-01,107.0
China (People’s Republic of),2019-01-01,1.7
China (People’s Republic of),2019-02-01,108.1
China (People’s Republic of),2019-02-01,1.5
China (People’s Republic of),2019-03-01,107.7
China (People’s Republic of),2019-03-01,2.3
China (People’s Republic of),2019-04-01,107.8
China (People’s Republic of),2019-04-01,2.5
China (People’s Republic of),2019-05-01,107.8
China (People’s Republic of),2019-05-01,2.7
China (People’s Republic of),2019-06-01,107.7
China (People’s Republic of),2019-06-01,2.7
China (People’s Republic of),2019-07-01,108.1
China (People’s Republic of),2019-07-01,2.8
China (People’s Republic of),2019-08-01,108.9
China (People’s Republic of),2019-08-01,2.8
China (People’s Republic of),2019-09-01,109.8
China (People’s Republic of),2019-09-01,3.0
China (People’s Republic of),2019-10-01,110.8
China (People’s Republic of),2019-10-01,3.8
China (People’s Republic of),2019-11-01,111.2
China (People’s Republic of),2019-11-01,4.5
China (People’s Republic of),2019-12-01,111.2
China (People’s Republic of),2019-12-01,4.5
China (People’s Republic of),2020-01-01,112.8
China (People’s Republic of),2020-01-01,5.4
China (People’s Republic of),2020-02-01,113.7
China (People’s Republic of),2020-02-01,5.2
China (People’s Republic of),2020-03-01,112.3
China (People’s Republic of),2020-03-01,4.3
China (People’s Republic of),2020-04-01,111.3
China (People’s Republic of),2020-04-01,3.3
China (People’s Republic of),2020-05-01,110.4
China (People’s Republic of),2020-05-01,2.4
China (People’s Republic of),2020-06-01,110.4
China (People’s Republic of),2020-06-01,2.5
China (People’s Republic of),2020-07-01,2.7
China (People’s Republic of),2020-07-01,110.0
China (People’s Republic of),2020-08-01,111.5
China (People’s Republic of),2020-08-01,2.4
China (People’s Republic of),2020-09-01,111.7
China (People’s Republic of),2020-09-01,1.7
China (People’s Republic of),2020-10-01,111.4
China (People’s Republic of),2020-10-01,0.5
China (People’s Republic of),2020-11-01,110.7
China (People’s Republic of),2020-11-01,-0.5
China (People’s Republic of),2020-12-01,111.5
China (People’s Republic of),2020-12-01,0.2
China (People’s Republic of),2021-01-01,112.55
China (People’s Republic of),2021-01-01,-0.3
China (People’s Republic of),2021-02-01,113.2193
China (People’s Republic of),2021-02-01,-0.2
China (People’s Republic of),2021-03-01,112.6615
China (People’s Republic of),2021-03-01,0.4
China (People’s Republic of),2021-04-01,112.3269
China (People’s Republic of),2021-04-01,0.9
China (People’s Republic of),2021-05-01,112.2154
China (People’s Republic of),2021-05-01,1.3
China (People’s Republic of),2021-06-01,111.7692
China (People’s Republic of),2021-06-01,1.1
China (People’s Republic of),2021-07-01,112.1038
China (People’s Republic of),2021-07-01,1.0
China (People’s Republic of),2021-08-01,112.2154
China (People’s Republic of),2021-08-01,0.8
China (People’s Republic of),2021-09-01,112.2154
China (People’s Republic of),2021-09-01,0.7
China (People’s Republic of),2021-10-01,112.9962
China (People’s Republic of),2021-10-01,1.5
China (People’s Republic of),2021-11-01,113.4424
China (People’s Republic of),2021-11-01,2.3
China (People’s Republic of),2021-12-01,113.1077
China (People’s Republic of),2021-12-01,1.5
China (People’s Republic of),2022-01-01,113.6655
China (People’s Republic of),2022-01-01,0.9
China (People’s Republic of),2022-02-01,114.3347
China (People’s Republic of),2022-02-01,0.9
China (People’s Republic of),2022-03-01,114.3347
China (People’s Republic of),2022-03-01,1.5
China (People’s Republic of),2022-04-01,114.7809
China (People’s Republic of),2022-04-01,2.1
China (People’s Republic of),2022-05-01,114.5578
China (People’s Republic of),2022-05-01,2.1
China (People’s Republic of),2022-06-01,114.5578
China (People’s Republic of),2022-06-01,2.5
China (People’s Republic of),2022-07-01,115.1156
China (People’s Republic of),2022-07-01,2.7
China (People’s Republic of),2022-08-01,115.004
China (People’s Republic of),2022-08-01,2.5
China (People’s Republic of),2022-09-01,115.3387
China (People’s Republic of),2022-09-01,2.8
China (People’s Republic of),2022-10-01,115.4502
China (People’s Republic of),2022-10-01,2.1
China (People’s Republic of),2022-11-01,115.2271
China (People’s Republic of),2022-11-01,1.6
China (People’s Republic of),2022-12-01,115.1156
